create file1
use file1
afu todd
insert name= aaccf ; CWID= 10000000 ; color= black ; age= 37 ; salary= 104883.3149 ;
insert name= aalders ; CWID= 10000001 ; color= white ; age= 43 ; salary= 72675.4487 ;
insert name= aaren ; CWID= 10000002 ; color= red ; age= 49 ; salary= 41874.06031 ;
insert name= aarika ; CWID= 10000003 ; color= green ; age= 1 ; salary= 51809.36341 ;
insert name= aaron ; CWID= 10000004 ; color= blue ; age= 8 ; salary= 46336.7971 ;
insert name= aartjan ; CWID= 10000005 ; color= orange ; age= 31 ; salary= 68975.02262 ;
insert name= aasen ; CWID= 10000006 ; color= yellow ; age= 43 ; salary= 84215.78862 ;
insert name= ab ; CWID= 10000007 ; color= pink ; age= 23 ; salary= 66327.48285 ;
insert name= abacus ; CWID= 10000008 ; color= purple ; age= 42 ; salary= 28053.02727 ;
insert name= abadines ; CWID= 10000009 ; color= crimson ; age= 30 ; salary= 105267.1097 ;
insert name= abagael ; CWID= 10000010 ; color= black ; age= 34 ; salary= 72307.93017 ;
insert name= abagail ; CWID= 10000011 ; color= white ; age= 69 ; salary= 34366.58285 ;
insert name= abahri ; CWID= 10000012 ; color= red ; age= 2 ; salary= 70665.73262 ;
insert name= abasolo ; CWID= 10000013 ; color= green ; age= 99 ; salary= 95298.31834 ;
insert name= abazari ; CWID= 10000014 ; color= blue ; age= 99 ; salary= 45608.42363 ;
insert name= abba ; CWID= 10000015 ; color= orange ; age= 44 ; salary= 65704.63013 ;
insert name= abbai ; CWID= 10000016 ; color= yellow ; age= 59 ; salary= 12334.63799 ;
insert name= abbas ; CWID= 10000017 ; color= pink ; age= 14 ; salary= 77217.7251 ;
insert name= abbatant ; CWID= 10000018 ; color= purple ; age= 43 ; salary= 35927.10486 ;
insert name= abbate ; CWID= 10000019 ; color= crimson ; age= 34 ; salary= 43885.62973 ;
insert name= abbe ; CWID= 10000020 ; color= black ; age= 80 ; salary= 29701.41266 ;
insert name= abbey ; CWID= 10000021 ; color= white ; age= 96 ; salary= 38680.78889 ;
insert name= abbi ; CWID= 10000022 ; color= red ; age= 58 ; salary= 45321.2065 ;
insert name= abbie ; CWID= 10000023 ; color= green ; age= 65 ; salary= 66674.02223 ;
insert name= abbot ; CWID= 10000024 ; color= blue ; age= 87 ; salary= 68737.57732 ;
insert name= abbott ; CWID= 10000025 ; color= orange ; age= 52 ; salary= 44467.80018 ;
insert name= abby ; CWID= 10000026 ; color= yellow ; age= 29 ; salary= 24873.75519 ;
insert name= abbye ; CWID= 10000027 ; color= pink ; age= 12 ; salary= 35389.59276 ;
insert name= abdalla ; CWID= 10000028 ; color= purple ; age= 18 ; salary= 57456.33772 ;
insert name= abdallah ; CWID= 10000029 ; color= crimson ; age= 90 ; salary= 97374.16869 ;
insert name= abdel ; CWID= 10000030 ; color= black ; age= 23 ; salary= 13323.23204 ;
insert name= abdel-az ; CWID= 10000031 ; color= white ; age= 74 ; salary= 46247.77108 ;
insert name= abdel-ma ; CWID= 10000032 ; color= red ; age= 82 ; salary= 59397.37492 ;
insert name= abdel-ra ; CWID= 10000033 ; color= green ; age= 33 ; salary= 83080.66803 ;
insert name= abdel-sa ; CWID= 10000034 ; color= blue ; age= 64 ; salary= 42496.01338 ;
insert name= abdelazi ; CWID= 10000035 ; color= orange ; age= 23 ; salary= 29318.39923 ;
insert name= abdelmad ; CWID= 10000036 ; color= yellow ; age= 13 ; salary= 59858.1717 ;
insert name= abdelrah ; CWID= 10000037 ; color= pink ; age= 95 ; salary= 48460.21098 ;
